2025-10-12 12:28:24,003 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 12:28:24,010 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://juice-shop.herokuapp.com/
2025-10-12 12:28:24,012 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 12:28:26,115 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_122824_0
2025-10-12 12:28:26,123 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 12:28:26,137 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_122824_0
2025-10-12 12:32:45,087 | ERROR    | DistributedBridge | [DISTRIBUTED] Status check error 404: {"detail":"Scan not found"}
2025-10-12 12:32:45,088 | ERROR    | DistributedBridge | [DISTRIBUTED] Error monitoring scan: Distributed system error: {"detail":"Scan not found"}
2025-10-12 12:32:45,088 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Distributed system error: {"detail":"Scan not found"}
2025-10-12 12:52:34,315 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 12:52:34,318 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://juice-shop.herokuapp.com/
2025-10-12 12:52:34,318 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 12:52:34,319 | ERROR    | DistributedBridge | [DISTRIBUTED] Unexpected error submitting scan: Object of type HttpUrl is not JSON serializable
2025-10-12 13:35:34,529 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 13:35:34,531 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://juice-shop.herokuapp.com/
2025-10-12 13:35:34,532 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 13:35:34,532 | ERROR    | DistributedBridge | [DISTRIBUTED] Unexpected error submitting scan: Object of type HttpUrl is not JSON serializable
2025-10-12 13:40:16,519 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 13:40:16,520 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://www.hackthissite.org/
2025-10-12 13:40:16,521 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 13:40:18,859 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_134017_2
2025-10-12 13:40:18,866 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 13:40:18,868 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_134017_2
2025-10-12 16:01:46,512 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 16:01:46,516 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: http://testphp.vulnweb.com/
2025-10-12 16:01:46,517 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 16:01:48,024 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_160147_1
2025-10-12 16:01:48,025 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 16:01:48,028 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_160147_1
2025-10-12 16:31:45,698 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 16:31:45,702 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://www.hackthissite.org/
2025-10-12 16:31:45,703 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 16:31:47,623 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_163147_0
2025-10-12 16:31:47,624 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 16:31:47,627 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_163147_0
2025-10-12 16:38:38,778 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 16:38:38,780 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://www.hackthissite.org/
2025-10-12 16:38:38,781 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 16:38:39,619 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_163839_0
2025-10-12 16:38:39,620 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 16:38:39,622 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_163839_0
2025-10-12 17:55:36,435 | ERROR    | DistributedBridge | [DISTRIBUTED] Health check failed: All connection attempts failed
2025-10-12 17:58:25,863 | ERROR    | DistributedBridge | [DISTRIBUTED] Health check failed: All connection attempts failed
2025-10-12 18:02:05,350 | ERROR    | DistributedBridge | [DISTRIBUTED] Health check failed: All connection attempts failed
2025-10-12 18:03:09,111 | ERROR    | DistributedBridge | [DISTRIBUTED] Health check failed: All connection attempts failed
2025-10-12 18:17:25,677 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 18:17:25,681 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://www.hackthissite.org/
2025-10-12 18:17:25,682 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 18:17:27,573 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_181726_0
2025-10-12 18:17:27,574 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 18:17:27,577 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_181726_0
2025-10-12 19:17:29,168 | WARNING  | DistributedBridge | [DISTRIBUTED] Scan scan_20251012_181726_0 timed out after 3600s
2025-10-12 19:17:29,171 | ERROR    | DistributedBridge | [DISTRIBUTED] Monitoring failed: Scan timed out after 3600s
2025-10-12 20:03:36,777 | INFO     | DistributedBridge | [DISTRIBUTED] System HEALTHY - Crawlers: 5, Workers: 20
2025-10-12 20:03:36,781 | INFO     | DistributedBridge | [DISTRIBUTED] Submitting REAL scan for: https://www.vulnhub.com/
2025-10-12 20:03:36,782 | INFO     | DistributedBridge | [DISTRIBUTED] Scan mode: owasp, Max depth: 3
2025-10-12 20:03:37,844 | INFO     | DistributedBridge | [DISTRIBUTED] Scan submitted successfully - Distributed Scan ID: scan_20251012_200337_0
2025-10-12 20:03:37,845 | INFO     | DistributedBridge | [DISTRIBUTED] Status: started, Message: Enhanced scan job started successfully
2025-10-12 20:03:37,847 | INFO     | DistributedBridge | [DISTRIBUTED] Starting REAL-TIME monitoring for scan scan_20251012_200337_0
